statement,veracity,light_normalization,full_normalization
"""We've already lost $500 million in economic impact"" from HB2 fallout in North Carolina.",0,"""we've already lost $500 million in economic impact"" from hb2 fallout in north carolina.",ve lose million economic impact fallout north carolina
"""The United States has a low voter turnout rate.""",1,"""the united states has a low voter turnout rate.""",united state low voter turnout rate
"Half of illegal immigrants ""come on legal visas and then overstay.""",1,"half of illegal immigrants ""come on legal visas and then overstay.""",half illegal immigrant come legal visa overstay
"Says Ted Strickland admits his record on jobs and taxes is ""mixed and spotty.""",0,"says ted strickland admits his record on jobs and taxes is ""mixed and spotty.""",ted strickland admit record job taxis mixed spotty
"Says Arizona, Missouri and Texas residents have a two-pet limit, so the public must ""surrender their third pet to the Humane Society.""",0,"says arizona, missouri and texas residents have a two-pet limit, so the public must ""surrender their third pet to the humane society.""",arizona missouri texas resident pet limit public surrender pet humane society
"The University of Wisconsin-Milwaukee has ""2.8 students per faculty"" member, ""tied for second-lowest in its history since 1994.""",0,"the university of wisconsin-milwaukee has ""2.8 students per faculty"" member, ""tied for second-lowest in its history since 1994.""",university wisconsin milwaukee student faculty member tie second low history
"""Austin is number one in Texas in startups, venture capital and patents.""",1,"""austin is number one in texas in startups, venture capital and patents.""",austin number texas startup venture capital patent
"University of Texas undergraduate student debt ""is less than $21,000… probably one of the lowest debts across the nation.""",1,"university of texas undergraduate student debt ""is less than $21,000... probably one of the lowest debts across the nation.""",university texas undergraduate student debt probably low debt nation
"""For the first time in over 40 years, Republicans don’t hold a single statewide office"" in Virginia.",1,"""for the first time in over 40 years, republicans dont hold a single statewide office"" in virginia.",time year republicans hold single statewide office virginia
"Says Hillary Clinton ""wants to abolish the Second Amendment.""",0,"says hillary clinton ""wants to abolish the second amendment.""",hillary clinton want abolish second amendment
"Germany ""is crime-riddled right now"" because of migration to Europe.",0,"germany ""is crime-riddled right now"" because of migration to europe.",germany crime riddle right migration europe
"Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""",0,"says president obamas deal ""allows iran to produce a nuclear weapon.""",president obama deal allow iran produce nuclear weapon
"Says former state Sen. Kelli Ward ""wanted to ban our intelligence agencies from operating in Arizona.""",0,"says former state sen. kelli ward ""wanted to ban our intelligence agencies from operating in arizona.""",state sen kelli ward want ban intelligence agency operate arizona
"The city of Clarkston ""can’t decriminalize marijuana. Only state legislators and Congress can do that.""",1,"the city of clarkston ""cant decriminalize marijuana. only state legislators and congress can do that.""",city clarkston decriminalize marijuana state legislator congress
"""Russ Feingold got a memo in 2009 that outlined veteran harm"" at a Wisconsin VA facility ""and nothing was done.""",0,"""russ feingold got a memo in 2009 that outlined veteran harm"" at a wisconsin va facility ""and nothing was done.""",russ feingold memo outline veteran harm wisconsin va facility
